,cluster,X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
344,0,-8832610.48795014,5417184.90040215,3376951,888497,2006,2006/02/15 05:00:00+00,935,9,WESTWOOD AVE,WOODYCREST AVE,<Null>,Local,Toronto and East York,14,54,43.687345,-79.34469,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,None,<Null>,East,<Null>,Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D54,59,Danforth East York (59),345
345,3,-8856588.70626702,5423067.41108166,3377279,888639,2006,2006/02/16 05:00:00+00,620,6,2443 ISLINGTON AVE,<Null>,<Null>,Major Arterial,Etobicoke York,1,23,43.725545,-79.56009,Mid-Block,<Null>,No Control,Snow,Daylight,Slush,Non-Fatal Injury,SMV Other,Driver,40 to 44,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D23,5,Elms-Old Rexdale (5),346
350,7,-8835115.17649299,5421142.09306588,3388768,893071,2006,2006/02/19 05:00:00+00,1508,15,EGLINTON AVE E,SUTHERLAND DR,<Null>,Major Arterial,North York,15,53,43.713045,-79.36719,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D53,56,Leaside-Bennington (56),351
355,7,-8818728.94744822,5435800.02467491,3378689,889218,2006,2006/02/20 05:00:00+00,1840,18,NEILSON RD,MCLEVIN AVE,<Null>,Minor Arterial,Scarborough,"23,25",42,43.808145,-79.21999,Mid-Block,<Null>,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Driver,40 to 44,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D42,132,Malvern (132),356
357,1,-8842640.37407062,5425378.32309756,3382112,890516,2006,2006/02/21 05:00:00+00,1846,18,BATHURST ST,ALLINGHAM GDNS,<Null>,Major Arterial,North York,6,32,43.740545,-79.43479,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,<Null>,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D32,38,Lansing-Westgate (38),358
360,4,-8856455.12287807,5408060.56611315,3389947,893520,2006,2006/02/23 05:00:00+00,700,7,DUNDAS ST W,427 C S DUNDAS RAMP S,<Null>,Major Arterial,Etobicoke York,"2,3",22,43.628045,-79.55889,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Disobeyed Traffic Control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,D22,12,Markland Wood (12),361
361,4,-8856455.12287807,5408060.56611315,3389948,893520,2006,2006/02/23 05:00:00+00,700,7,DUNDAS ST W,427 C S DUNDAS RAMP S,<Null>,Major Arterial,Etobicoke York,"2,3",22,43.628045,-79.55889,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Major,<Null>,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,D22,12,Markland Wood (12),362
363,0,-8841282.27628294,5418170.19056768,3390001,893539,2006,2006/02/23 05:00:00+00,1350,13,ARDMORE RD,BATHURST ST,<Null>,Major Arterial,Toronto and East York,12,13,43.693745,-79.42259,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D13,101,Forest Hill South (101),364
365,7,-8859661.12421291,5413906.48848997,3380900,890040,2006,2006/02/24 05:00:00+00,837,8,EGLINTON AVE W,RENFORTH DR,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.666045,-79.58769,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,11,Eringate-Centennial-West Deane (11),366
368,0,-8838254.38613337,5414799.08630414,3381353,890213,2006,2006/02/25 05:00:00+00,1529,15,AVENUE RD,ELGIN AVE,<Null>,Major Arterial,Toronto and East York,11,53,43.671845,-79.39539,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,<Null>,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,95,Annex (95),369
382,3,-8859093.39480986,5421773.55310957,3382083,890506,2006,2006/02/27 05:00:00+00,501,5,MARTIN GROVE RD,RACINE RD,<Null>,Major Arterial,Etobicoke York,1,23,43.717145,-79.58259,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Improper Passing,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D23,1,West Humber-Clairville (1),383
387,0,-8815044.27230297,5430017.30044214,3390110,893580,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,<Null>,Major Arterial,Scarborough,"24,25",43,43.770645,-79.18689,Intersection,<Null>,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,<Null>,South,Municipal Transit Bus (TTC),Turning Right,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D43,136,West Hill (136),388
389,6,-8859627.72836567,5413998.82219519,3382784,890767,2006,2006/02/28 05:00:00+00,1754,17,RENFORTH DR,EGLINTON AVE W,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.666645,-79.58739,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,55 to 59,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Other,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,11,Eringate-Centennial-West Deane (11),390
391,6,-8821645.51810701,5424839.05851858,3387138,892432,2006,2006/02/28 05:00:00+00,2334,23,DANFORTH RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,"21,20",43,43.737045,-79.24619,<Null>,<Null>,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D43,138,Eglinton East (138),392
394,6,-8833512.17582557,5417385.02895813,3391770,894195,2006,2006/03/01 05:00:00+00,1110,11,COSBURN AVE,LOGAN AVE,<Null>,Minor Arterial,Toronto and East York,14,54,43.688645,-79.35279,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,<Null>,West,"Automobile, Station Wagon",Parked,Other,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D54,57,Broadview North (57),395
397,7,-8847126.54954959,5409367.88560322,3394057,895068,2006,2006/03/06 05:00:00+00,1828,18,SOUTH KINGSWAY,RIPLEY AVE,<Null>,Minor Arterial,Toronto and East York,4,11,43.636545,-79.47509,Mid-Block,<Null>,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,<Null>,East,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D11,87,High Park-Swansea (87),398
401,6,-8847838.99429066,5408014.4288031,3385998,891993,2006,2006/03/06 05:00:00+00,2222,22,F G GARDINER XY  W,PARK LAWN RD,<Null>,<Null>,Etobicoke York,3,22,43.627745,-79.48149,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Fatal,Sideswipe,Driver,35 to 39,Minor,<Null>,West,"Automobile, Station Wagon",Overtaking,Lost control,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,17,Mimico (17),402
403,7,-8847838.99429066,5408014.4288031,3386000,891993,2006,2006/03/06 05:00:00+00,2222,22,F G GARDINER XY  W,PARK LAWN RD,<Null>,<Null>,Etobicoke York,3,22,43.627745,-79.48149,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Fatal,Sideswipe,Driver,25 to 29,Minor,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,17,Mimico (17),404
404,7,-8847838.99429066,5408014.4288031,3386001,891993,2006,2006/03/06 05:00:00+00,2222,22,F G GARDINER XY  W,PARK LAWN RD,<Null>,<Null>,Etobicoke York,3,22,43.627745,-79.48149,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Fatal,Sideswipe,Driver,40 to 44,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,17,Mimico (17),405
410,6,-8852169.32248252,5406645.79333703,3387203,892453,2006,2006/03/08 05:00:00+00,2018,20,F G GARDINER XY E  E,KIPLING AVE,<Null>,<Null>,Etobicoke York,3,22,43.618845,-79.52039,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Fatal,Rear End,Driver,30 to 34,Minor,<Null>,East,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,17,Mimico (17),411
411,0,-8839668.14366644,5427212.0585103,3456470,918360,2006,2006/07/18 04:00:00+00,1020,10,YONGE ST,LORD SEATON RD,<Null>,Major Arterial,North York,"8,15",32,43.752445,-79.40809,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,50 to 54,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,40,St.Andrew-Windfields (40),412
415,2,-8831564.08473669,5421388.51135736,3479484,926819,2006,2006/08/08 04:00:00+00,1709,17,GATEWAY BLVD,DON MILLS RD,<Null>,Collector,North York,16,54,43.714645,-79.33529,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Following too Close,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D54,44,Flemingdon Park (44),416
420,6,-8843041.12423748,5419987.09501188,3603138,906553,2006,2006/06/05 04:00:00+00,110,1,WILLIAM R ALLEN RD N,RIDELLE AVE,<Null>,<Null>,North York,8,13,43.705545,-79.43839,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,20 to 24,Minor,<Null>,North,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D13,102,Forest Hill North (102),421
427,6,-8837441.75385057,5415029.94460544,3438904,911791,2006,2006/06/06 04:00:00+00,1530,15,YONGE ST,DAVENPORT RD,<Null>,Major Arterial,Toronto and East York,11,53,43.673345,-79.38809,Mid-Block,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,<Null>,North,"Automobile, Station Wagon",Turning Right,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D53,98,Rosedale-Moore Park (98),428
431,7,-8821278.16378739,5436278.22563237,3532851,909380,2006,2006/06/07 04:00:00+00,831,8,2275 MARKHAM RD,FINCH Aven E,<Null>,Major Arterial,Scarborough,23,42,43.811245,-79.24289,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,55 to 59,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D42,132,Malvern (132),432
432,6,-8821278.16378739,5436278.22563237,3532852,909380,2006,2006/06/07 04:00:00+00,831,8,2275 MARKHAM RD,FINCH Aven E,<Null>,Major Arterial,Scarborough,23,42,43.811245,-79.24289,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Truck Driver,40 to 44,Minor,<Null>,South,Truck - Open,Going Ahead,Lost control,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D42,132,Malvern (132),433
433,3,-8858236.23473076,5429046.15858092,3426596,907251,2006,2006/06/07 04:00:00+00,2141,21,ISLINGTON AVE,STEELES AVE W,<Null>,Major Arterial,Etobicoke York,7,31,43.764345,-79.57489,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Driver,45 to 49,Minimal,<Null>,North,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D31,21,Humber Summit (21),434
434,3,-8858236.23473076,5429046.15858092,3426597,907251,2006,2006/06/07 04:00:00+00,2141,21,ISLINGTON AVE,STEELES AVE W,<Null>,Major Arterial,Etobicoke York,7,31,43.764345,-79.57489,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Driver,45 to 49,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D31,21,Humber Summit (21),435
435,8,-8858236.23473076,5429046.15858092,3426598,907251,2006,2006/06/07 04:00:00+00,2141,21,ISLINGTON AVE,STEELES AVE W,<Null>,Major Arterial,Etobicoke York,7,31,43.764345,-79.57489,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Driver,40 to 44,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Had Been Drinking,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D31,21,Humber Summit (21),436
438,7,-8847805.59844343,5407276.26315667,3603160,907409,2006,2006/06/08 04:00:00+00,1543,15,LAKE SHORE BLVD W,PARK LAWN RD,<Null>,Major Arterial,Etobicoke York,3,22,43.622945,-79.48119,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,Minimal,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,17,Mimico (17),439
439,9,-8847805.59844343,5407276.26315667,3603161,907409,2006,2006/06/08 04:00:00+00,1543,15,LAKE SHORE BLVD W,PARK LAWN RD,<Null>,Major Arterial,Etobicoke York,3,22,43.622945,-79.48119,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,None,<Null>,East,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,17,Mimico (17),440
442,1,-8818728.94744822,5432468.73249998,3434808,910277,2006,2006/06/09 04:00:00+00,1704,17,CREEKWOOD DR,SILVERSAND PL,<Null>,Local,Scarborough,24,43,43.786545,-79.21999,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,Major,<Null>,West,"Automobile, Station Wagon",Reversing,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D43,135,Morningside (135),443
445,2,-8823560.21334865,5426379.89810169,3427627,907646,2006,2006/06/10 04:00:00+00,934,9,MIDLAND AVE,ROMULUS DR,<Null>,Major Arterial,Scarborough,21,41,43.747045,-79.26339,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,75 to 79,Minor,<Null>,South,"Automobile, Station Wagon",Going Ahead,Lost control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D41,127,Bendale (127),446
447,7,-8841994.60970453,5414521.75616081,3478315,926382,2006,2006/06/10 04:00:00+00,1646,16,OSSINGTON AVE,DUPONT ST,<Null>,Major Arterial,Toronto and East York,"9,11",14,43.670043,-79.428989,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,60 to 64,None,<Null>,South,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D14,93,Dovercourt-Wallace Emerson-Junction (93),448
450,6,-8849798.21732863,5419478.94164846,3435597,910569,2006,2006/06/11 04:00:00+00,1916,19,THURODALE AVE,RENFIELD ST,<Null>,Local,Etobicoke York,5,12,43.702245,-79.49909,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Motorcycle Driver,25 to 29,Major,<Null>,East,Motorcycle,Going Ahead,Lost control,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D12,30,Brookhaven-Amesbury (30),451
457,0,-8861041.48589875,5425748.1227432,3436608,910951,2006,2006/06/13 04:00:00+00,2124,21,SILVERSTONE DR,ALBION RD,<Null>,Major Arterial,Etobicoke York,1,23,43.742945,-79.60009,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D23,1,West Humber-Clairville (1),458
462,6,-8857189.8315173,5420541.47604098,3436764,911012,2006,2006/06/14 04:00:00+00,1440,14,KIPLING AVE,BETHRIDGE RD,<Null>,Major Arterial,Etobicoke York,1,23,43.709145,-79.56549,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,1,West Humber-Clairville (1),463
464,0,-8837964.9554573,5420341.27905075,3430416,908674,2006,2006/06/15 04:00:00+00,941,9,EGLINTON AVE E,REDPATH AVE,<Null>,Major Arterial,Toronto and East York,12,53,43.707845,-79.39279,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,65 to 69,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,104,Mount Pleasant West (104),465
472,7,-8840324.92866212,5431466.49596331,3439401,911964,2006,2006/06/17 04:00:00+00,1755,17,FINCH AVE E,YONGE ST,<Null>,Major Arterial,North York,18,32,43.780045,-79.41399,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,51,Willowdale East (51),473
474,0,-8829059.39619384,5416923.20037333,3439045,911839,2006,2006/06/18 04:00:00+00,215,2,WOODBINE AVE,DANFORTH AVE,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.685645,-79.31279,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,D55,62,East End-Danforth (62),475
477,0,-8838065.14299902,5414337.38701075,3439424,911972,2006,2006/06/18 04:00:00+00,2105,21,BLOOR ST W,AVENUE RD,<Null>,Major Arterial,Toronto and East York,11,"53,52",43.668845,-79.39369,Mid-Block,<Null>,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,<Null>,East,"Automobile, Station Wagon",Overtaking,Improper Passing,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,95,Annex (95),478
480,4,-8826844.13832705,5420572.27596333,3438202,911524,2006,2006/06/18 04:00:00+00,2210,22,ST CLAIR AVE E,WESTBOURNE AVE,<Null>,Major Arterial,Scarborough,20,41,43.709345,-79.29289,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,<Null>,North,"Automobile, Station Wagon",Turning Right,Disobeyed Traffic Control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,D41,120,Clairlea-Birchmount (120),481
