,LATITUDE,LONGITUDE,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,TIME
945,43.657,-79.555,90 to 94,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1640.0
946,43.657,-79.509,50 to 54,Slush,Snow,Daylight,No Control,Lost control,Unknown,735.0
947,43.657,-79.479,30 to 34,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,745.0
948,43.657,-79.478,80 to 84,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1333.0
949,43.657,-79.447,70 to 74,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,2358.0
950,43.657,-79.423,40 to 44,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,1496.5
951,43.657,-79.423,70 to 74,Dry,Clear,Daylight,Pedestrian Crossover,Other,Normal,1496.5
952,43.657,-79.422,25 to 29,Dry,Clear,Daylight,No Control,Other,Unknown,1715.0
953,43.657,-79.408,25 to 29,Wet,Clear,Dark,Pedestrian Crossover,Lost control,"Ability Impaired, Alcohol",1104.5
954,43.657,-79.408,70 to 74,Wet,Snow,"Dark, artificial",Pedestrian Crossover,Failed to Yield Right of Way,Normal,1104.5
955,43.657,-79.405,25 to 29,Dry,Clear,Daylight,No Control,Other,Normal,1720.0
956,43.657,-79.404,80 to 84,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,855.0
957,43.657,-79.4,25 to 29,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,Unknown,177.5
958,43.657,-79.4,35 to 39,Dry,Clear,"Dark, artificial",No Control,Improper Passing,Inattentive,177.5
959,43.657,-79.395,55 to 59,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,1620.0
960,43.657,-79.389,30 to 34,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1819.0
961,43.657,-79.389,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,1819.0
962,43.657,-79.381,30 to 34,Dry,Clear,Daylight,Traffic Signal,Improper Passing,Normal,1248.0
963,43.657,-79.374,20 to 24,Wet,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Had Been Drinking,1408.5
964,43.657,-79.374,25 to 29,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1408.5
965,43.657,-79.373,35 to 39,Wet,Clear,Dark,No Control,Other,Normal,1296.6666666666667
966,43.657,-79.373,70 to 74,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,1296.6666666666667
967,43.657,-79.373,unknown,Dry,Clear,Daylight,No Control,<Null>,<Null>,1296.6666666666667
968,43.657,-79.372,35 to 39,Loose Snow,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol Over .08",1323.0
969,43.657,-79.372,40 to 44,Dry,Clear,Dark,No Control,Lost control,Unknown,1323.0
970,43.657,-79.37,30 to 34,Wet,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Had Been Drinking,104.0
971,43.657,-79.356,25 to 29,Other,Other,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,1325.0
972,43.657,-79.355,60 to 64,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1835.0
973,43.657,-79.354,20 to 24,Dry,Clear,"Daylight, artificial",No Control,Exceeding Speed Limit,Had Been Drinking,620.0
974,43.657,-79.353,25 to 29,Dry,Clear,Daylight,No Control,Following too Close,Normal,1935.0
975,43.657,-79.341,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1130.0
976,43.657,-79.331,60 to 64,Dry,Clear,Daylight,No Control,Following too Close,Normal,1621.0
977,43.658,-79.517,80 to 84,Dry,Clear,Daylight,No Control,Lost control,Medical or Physical Disability,1130.0
978,43.658,-79.516,25 to 29,Dry,Clear,Dark,No Control,Other,Medical or Physical Disability,2107.0
979,43.658,-79.516,50 to 54,Dry,Clear,Dark,No Control,Other,Normal,2107.0
980,43.658,-79.488,40 to 44,Wet,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,1823.0
981,43.658,-79.453,80 to 84,Dry,Clear,Daylight,No Control,Lost control,Normal,1315.0
982,43.658,-79.452,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1245.0
983,43.658,-79.443,30 to 34,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,1449.0
984,43.658,-79.442,20 to 24,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,1762.0
985,43.658,-79.442,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1762.0
986,43.658,-79.442,50 to 54,Dry,Clear,Daylight,Traffic Signal,Exceeding Speed Limit,Unknown,1762.0
987,43.658,-79.441,unknown,Dry,Clear,Dark,Stop Sign,<Null>,<Null>,316.0
988,43.658,-79.44,unknown,Dry,Clear,Daylight,Stop Sign,Improper Turn,Unknown,754.0
989,43.658,-79.44,unknown,Wet,Clear,"Dark, artificial",No Control,Other,Unknown,754.0
990,43.658,-79.439,unknown,Dry,Clear,Dark,No Control,Improper Passing,Unknown,2259.0
991,43.658,-79.434,20 to 24,Dry,Clear,Daylight,Stop Sign,Other,Inattentive,1325.0
992,43.658,-79.424,25 to 29,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,1845.0
993,43.658,-79.398,15 to 19,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08",226.0
994,43.658,-79.395,30 to 34,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,1050.0
995,43.658,-79.394,30 to 34,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,900.0
996,43.658,-79.393,65 to 69,Dry,Clear,Daylight,No Control,Other,Inattentive,1024.0
997,43.658,-79.389,50 to 54,Dry,Clear,Daylight,No Control,Improper Turn,Normal,900.0
998,43.658,-79.386,25 to 29,Wet,Rain,Daylight,No Control,<Null>,<Null>,1568.3333333333333
999,43.658,-79.386,60 to 64,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1568.3333333333333
1000,43.658,-79.386,unknown,Wet,Rain,Daylight,No Control,<Null>,<Null>,1568.3333333333333
1001,43.658,-79.385,30 to 34,Wet,Rain,"Dark, artificial",No Control,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08",39.0
1002,43.658,-79.384,50 to 54,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,1514.0
1003,43.658,-79.378,unknown,Dry,Clear,Daylight,No Control,Other,Inattentive,1010.0
1004,43.658,-79.377,30 to 34,Wet,Rain,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1566.5
1005,43.658,-79.377,50 to 54,Dry,Clear,Dark,Traffic Signal,Other,Other,1566.5
1006,43.658,-79.375,unknown,Dry,Clear,Dark,No Control,Other,Unknown,2103.0
1007,43.658,-79.372,20 to 24,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,1581.0
1008,43.658,-79.372,25 to 29,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Normal,1581.0
1009,43.658,-79.37,25 to 29,Dry,Clear,Daylight,Traffic Signal,Lost control,Fatigue,560.0
1010,43.658,-79.37,unknown,Wet,Rain,"Dark, artificial",No Control,Other,Unknown,560.0
1011,43.658,-79.359,45 to 49,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Normal,1420.0
1012,43.658,-79.352,30 to 34,Dry,Clear,Daylight,Pedestrian Crossover,Following too Close,Normal,1289.0
1013,43.658,-79.352,70 to 74,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Inattentive,1289.0
1014,43.658,-79.349,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Drugs",1231.75
1015,43.658,-79.349,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08",1231.75
1016,43.658,-79.349,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1231.75
1017,43.658,-79.349,unknown,Wet,Rain,"Dusk, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,1231.75
1018,43.658,-79.338,35 to 39,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Normal,1159.25
1019,43.658,-79.338,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,1159.25
1020,43.658,-79.338,35 to 39,Dry,Clear,Daylight,Traffic Signal,Lost control,Normal,1159.25
1021,43.658,-79.338,65 to 69,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1159.25
1022,43.659,-79.594,15 to 19,Dry,Clear,Daylight,Traffic Signal,Following too Close,Fatigue,750.0
1023,43.659,-79.583,80 to 84,Wet,Rain,Daylight,Traffic Signal,Other,Medical or Physical Disability,1255.0
1024,43.659,-79.543,20 to 24,Wet,Clear,"Dark, artificial",No Control,Improper Lane Change,Inattentive,2245.0
1025,43.659,-79.484,35 to 39,Dry,Clear,Dark,No Control,Following too Close,Normal,2135.0
1026,43.659,-79.442,55 to 59,Wet,Rain,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,1145.0
1027,43.659,-79.438,30 to 34,Dry,Clear,Daylight,No Control,<Null>,<Null>,920.0
1028,43.659,-79.435,20 to 24,Dry,Clear,"Dark, artificial",No Control,Improper Turn,Normal,1936.5
1029,43.659,-79.435,50 to 54,Dry,Clear,Daylight,Traffic Signal,Other,Normal,1936.5
1030,43.659,-79.434,unknown,Dry,Clear,Dark,No Control,Speed too Fast For Condition,Normal,2349.0
1031,43.659,-79.421,70 to 74,Wet,Rain,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1254.0
1032,43.659,-79.419,25 to 29,Dry,Other,Dark,Traffic Signal,Disobeyed Traffic Control,Unknown,2330.0
1033,43.659,-79.409,30 to 34,Dry,Clear,"Dark, artificial",No Control,Other,Had Been Drinking,786.0
1034,43.659,-79.409,35 to 39,Wet,Freezing Rain,Daylight,Traffic Signal,Improper Lane Change,Inattentive,786.0
1035,43.659,-79.4,25 to 29,Dry,Clear,Daylight,No Control,Lost control,Normal,1405.0
1036,43.659,-79.399,25 to 29,Dry,Clear,Daylight,No Control,Other,Unknown,1634.0
1037,43.659,-79.398,45 to 49,Dry,Clear,"Dark, artificial",No Control,Other,Inattentive,2311.0
1038,43.659,-79.393,35 to 39,Dry,Clear,"Dark, artificial",Streetcar (Stop for),Failed to Yield Right of Way,Inattentive,2206.0
1039,43.659,-79.39,60 to 64,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,2130.0
1040,43.659,-79.382,20 to 24,Packed Snow,Snow,Daylight,No Control,Lost control,Normal,1273.5
1041,43.659,-79.382,35 to 39,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1273.5
1042,43.659,-79.382,40 to 44,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,1273.5
1043,43.659,-79.382,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1273.5
1044,43.659,-79.381,30 to 34,Dry,Clear,"Dark, artificial",No Control,Lost control,Normal,145.0
1045,43.659,-79.375,30 to 34,Wet,Clear,"Dark, artificial",No Control,Other,Normal,230.0
1046,43.659,-79.365,25 to 29,Dry,Clear,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Unknown,256.0
1047,43.659,-79.364,30 to 34,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Inattentive,551.0
1048,43.659,-79.357,45 to 49,Wet,Rain,Dark,Traffic Signal,Improper Turn,Normal,1754.0
1049,43.659,-79.347,20 to 24,Dry,Clear,"Dark, artificial",No Control,Other,Had Been Drinking,255.5
1050,43.659,-79.347,unknown,Loose Snow,Drifting Snow,"Dark, artificial",No Control,Other,Unknown,255.5
1051,43.659,-79.346,25 to 29,Wet,Rain,Daylight,Pedestrian Crossover,Following too Close,Inattentive,1534.5
1052,43.659,-79.346,30 to 34,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Inattentive,1534.5
1053,43.659,-79.345,50 to 54,Dry,Clear,Daylight,No Control,Lost control,Normal,1707.0
1054,43.659,-79.328,unknown,Dry,Clear,Dark,Traffic Signal,Other,Unknown,1787.5
1055,43.659,-79.328,unknown,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,1787.5
1056,43.66,-79.583,20 to 24,Dry,Clear,"Dusk, artificial",No Control,Exceeding Speed Limit,Unknown,2108.0
1057,43.66,-79.583,25 to 29,Dry,Clear,"Dusk, artificial",No Control,Improper Turn,Normal,2108.0
1058,43.66,-79.517,65 to 69,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,1415.0
1059,43.66,-79.51,50 to 54,Wet,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1445.0
1060,43.66,-79.479,35 to 39,Loose Snow,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1445.0
1061,43.66,-79.443,25 to 29,Dry,Clear,Dark,Traffic Signal,Lost control,Inattentive,1658.5
1062,43.66,-79.443,40 to 44,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,1658.5
1063,43.66,-79.443,40 to 44,Other,Other,Daylight,Stop Sign,Failed to Yield Right of Way,Unknown,1658.5
1064,43.66,-79.443,70 to 74,Wet,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Normal,1658.5
1065,43.66,-79.435,45 to 49,Dry,Clear,Daylight,No Control,Lost control,Normal,1108.0
1066,43.66,-79.434,50 to 54,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,1238.0
1067,43.66,-79.432,45 to 49,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1906.0
1068,43.66,-79.431,30 to 34,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1700.0
1069,43.66,-79.43,unknown,Wet,Rain,Dusk,No Control,Speed too Fast For Condition,Unknown,2104.0
1070,43.66,-79.397,75 to 79,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Inattentive,957.0
1071,43.66,-79.387,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,1920.0
1072,43.66,-79.385,50 to 54,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,925.5
1073,43.66,-79.385,65 to 69,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,Medical or Physical Disability,925.5
1074,43.66,-79.382,45 to 49,Wet,Clear,Daylight,No Control,Other,Inattentive,1000.0
1075,43.66,-79.378,20 to 24,Dry,Clear,Daylight,No Control,Improper Turn,Normal,1553.0
1076,43.66,-79.375,20 to 24,Dry,Clear,Dark,Traffic Signal,Exceeding Speed Limit,Other,526.6666666666666
1077,43.66,-79.375,30 to 34,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,526.6666666666666
1078,43.66,-79.375,45 to 49,Dry,Clear,Dark,Traffic Signal,Improper Turn,Inattentive,526.6666666666666
1079,43.66,-79.374,50 to 54,Ice,Clear,Dark,No Control,Lost control,"Ability Impaired, Alcohol",110.0
1080,43.66,-79.37,unknown,Loose Snow,Clear,"Dark, artificial",No Control,Other,Unknown,2255.0
1081,43.66,-79.366,25 to 29,Dry,Clear,Daylight,Pedestrian Crossover,Disobeyed Traffic Control,Inattentive,1837.5
1082,43.66,-79.366,25 to 29,Wet,Rain,Daylight,No Control,Speed too Fast For Condition,Inattentive,1837.5
1083,43.66,-79.362,35 to 39,Dry,Clear,Daylight,No Control,Improper Passing,Normal,908.0
1084,43.66,-79.361,40 to 44,Dry,Clear,Daylight,Traffic Signal,Lost control,"Ability Impaired, Drugs",1315.0
1085,43.66,-79.354,25 to 29,Dry,Clear,Daylight,No Control,Following too Close,Normal,923.0
1086,43.66,-79.354,30 to 34,Dry,Clear,Daylight,No Control,Following too Close,Normal,923.0
1087,43.66,-79.344,35 to 39,Wet,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,832.0
1088,43.66,-79.342,25 to 29,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Inattentive,1940.0
1089,43.66,-79.34,45 to 49,Dry,Clear,Daylight,Traffic Signal,Lost control,Medical or Physical Disability,920.0
1090,43.66,-79.339,40 to 44,Dry,Clear,Daylight,No Control,Improper Turn,Normal,900.0
1091,43.66,-79.33,55 to 59,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,1415.0
1092,43.661,-79.543,35 to 39,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,551.5
1093,43.661,-79.543,unknown,Dry,Clear,Dark,Stop Sign,<Null>,<Null>,551.5
1094,43.661,-79.517,15 to 19,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1581.6666666666667
1095,43.661,-79.517,20 to 24,Dry,Clear,Daylight,No Control,Improper Passing,Unknown,1581.6666666666667
1096,43.661,-79.517,30 to 34,Dry,Clear,Daylight,No Control,Exceeding Speed Limit,Normal,1581.6666666666667
1097,43.661,-79.489,50 to 54,Wet,Snow,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1145.0
1098,43.661,-79.462,30 to 34,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,1943.0
1099,43.661,-79.45,unknown,Dry,Clear,"Dark, artificial",Stop Sign,Failed to Yield Right of Way,Unknown,2000.0
1100,43.661,-79.429,50 to 54,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,905.0
1101,43.661,-79.429,75 to 79,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,905.0
1102,43.661,-79.426,35 to 39,Dry,Clear,Dark,No Control,Failed to Yield Right of Way,Inattentive,0.0
1103,43.661,-79.425,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Exceeding Speed Limit,Other,688.0
1104,43.661,-79.425,30 to 34,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,688.0
1105,43.661,-79.425,55 to 59,Dry,Clear,Daylight,No Control,Improper Passing,Inattentive,688.0
1106,43.661,-79.425,unknown,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,688.0
1107,43.661,-79.41,40 to 44,Wet,Clear,Dark,No Control,Failed to Yield Right of Way,Normal,2120.0
1108,43.661,-79.409,25 to 29,Dry,Clear,Dark,Traffic Signal,Exceeding Speed Limit,Normal,240.0
1109,43.661,-79.409,25 to 29,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Unknown,240.0
1110,43.661,-79.401,25 to 29,Wet,Clear,Dark,Traffic Signal,Improper Lane Change,Inattentive,350.0
1111,43.661,-79.4,40 to 44,Dry,Clear,Dark,No Control,Improper Turn,Inattentive,2045.0
1112,43.661,-79.39,55 to 59,Ice,Snow,Dark,No Control,Speed too Fast For Condition,Normal,617.0
1113,43.661,-79.389,20 to 24,Dry,Clear,Dark,No Control,Lost control,Inattentive,2320.0
1114,43.661,-79.384,50 to 54,Dry,Clear,Daylight,No Control,Other,Normal,1600.0
1115,43.661,-79.383,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,1815.0
1116,43.661,-79.383,45 to 49,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1815.0
1117,43.661,-79.381,50 to 54,Dry,Clear,Daylight,No Control,Other,Normal,1915.0
1118,43.661,-79.379,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,951.0
1119,43.661,-79.372,60 to 64,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,Unknown,1847.0
1120,43.661,-79.366,50 to 54,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,2049.5
1121,43.661,-79.366,unknown,Wet,Rain,Dark,Traffic Signal,Disobeyed Traffic Control,Unknown,2049.5
1122,43.661,-79.358,unknown,Dry,Clear,"Dark, artificial",Traffic Controller,Failed to Yield Right of Way,Normal,104.0
1123,43.661,-79.357,30 to 34,Dry,Clear,Dark,No Control,Lost control,Normal,2212.0
1124,43.661,-79.35,45 to 49,Wet,Rain,Daylight,No Control,Lost control,Normal,1612.0
1125,43.661,-79.34,50 to 54,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1511.5
1126,43.662,-79.576,55 to 59,Dry,Clear,Daylight,No Control,Lost control,Normal,2007.0
1127,43.662,-79.531,35 to 39,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,845.0
1128,43.662,-79.47,55 to 59,Dry,Clear,Daylight,Stop Sign,Speed too Fast For Condition,Normal,1717.0
1129,43.662,-79.469,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1453.0
1130,43.662,-79.444,25 to 29,Dry,Clear,Daylight,No Control,Lost control,Inattentive,1910.0
1131,43.662,-79.436,25 to 29,Dry,Clear,"Dark, artificial",Traffic Signal,Following too Close,Normal,2126.0
1132,43.662,-79.436,40 to 44,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,2126.0
1133,43.662,-79.429,50 to 54,Dry,Clear,Daylight,Stop Sign,Other,Normal,1987.0
1134,43.662,-79.429,50 to 54,Wet,Rain,Dark,No Control,Failed to Yield Right of Way,Had Been Drinking,1987.0
1135,43.662,-79.425,45 to 49,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1734.0
1136,43.662,-79.423,45 to 49,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,1437.0
1137,43.662,-79.41,20 to 24,Dry,Clear,Daylight,No Control,Lost control,Normal,1189.5
1138,43.662,-79.41,45 to 49,Dry,Clear,Dark,No Control,Failed to Yield Right of Way,Normal,1189.5
1139,43.662,-79.404,35 to 39,Wet,Rain,Daylight,No Control,Failed to Yield Right of Way,Normal,1613.0
1140,43.662,-79.387,35 to 39,Dry,Clear,Daylight,No Control,Improper Passing,Normal,1033.0
1141,43.662,-79.387,55 to 59,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1033.0
1142,43.662,-79.386,20 to 24,Dry,Clear,Daylight,Traffic Signal,Other,Normal,1422.25
1143,43.662,-79.386,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1422.25
1144,43.662,-79.386,45 to 49,Dry,Clear,Daylight,Traffic Signal,Other,Normal,1422.25
1145,43.662,-79.386,60 to 64,Dry,Clear,Daylight,No Control,Improper Lane Change,Inattentive,1422.25
1146,43.662,-79.377,unknown,Dry,Clear,"Dusk, artificial",No Control,Other,Unknown,1818.0
1147,43.662,-79.376,20 to 24,Dry,Clear,Daylight,Traffic Signal,Lost control,Normal,1619.0
1148,43.662,-79.376,30 to 34,Dry,Clear,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Normal,1619.0
1149,43.662,-79.374,75 to 79,Wet,Rain,"Dark, artificial",No Control,Failed to Yield Right of Way,Inattentive,2315.0
1150,43.662,-79.372,35 to 39,Dry,Clear,"Daylight, artificial",No Control,Improper Turn,Unknown,511.0
1151,43.662,-79.368,20 to 24,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,1400.0
1152,43.662,-79.367,unknown,Dry,Clear,Daylight,No Control,Other,Inattentive,1212.0
1153,43.662,-79.362,unknown,Wet,Rain,Daylight,No Control,Following too Close,Unknown,1338.0
1154,43.662,-79.352,55 to 59,Slush,Snow,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,1510.0
1155,43.662,-79.351,50 to 54,Dry,Clear,Daylight,Traffic Signal,Improper Passing,Normal,1461.5
1156,43.662,-79.351,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1461.5
1157,43.662,-79.351,60 to 64,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1461.5
1158,43.662,-79.351,80 to 84,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1461.5
1159,43.662,-79.349,unknown,Wet,Rain,Dark,No Control,Failed to Yield Right of Way,Unknown,1850.0
1160,43.662,-79.34,15 to 19,Dry,Clear,Dark,No Control,<Null>,<Null>,2115.0
1161,43.662,-79.34,45 to 49,Dry,Clear,Dark,No Control,Other,Normal,2115.0
1162,43.662,-79.332,30 to 34,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1148.5
1163,43.662,-79.332,50 to 54,Dry,Clear,Daylight,No Control,Improper Turn,Unknown,1148.5
1164,43.662,-79.332,50 to 54,Dry,Clear,Daylight,No Control,Other,Normal,1148.5
1165,43.662,-79.332,65 to 69,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1148.5
1166,43.662,-79.314,50 to 54,Dry,Clear,Dusk,Traffic Controller,Following too Close,Unknown,1823.0
1167,43.663,-79.585,20 to 24,Dry,Clear,Daylight,Pedestrian Crossover,Disobeyed Traffic Control,Normal,1445.0
1168,43.663,-79.582,20 to 24,Dry,Clear,Dark,No Control,Lost control,Had Been Drinking,450.0
1169,43.663,-79.518,30 to 34,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,1805.0
1170,43.663,-79.49,50 to 54,Dry,Clear,Daylight,Pedestrian Crossover,Other,Inattentive,1330.0
1171,43.663,-79.481,30 to 34,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,1619.0
1172,43.663,-79.467,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1115.0
1173,43.663,-79.463,25 to 29,Wet,Rain,Dawn,Traffic Signal,Disobeyed Traffic Control,"Ability Impaired, Alcohol Over .08",866.0
1174,43.663,-79.463,50 to 54,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,866.0
1175,43.663,-79.463,65 to 69,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,866.0
1176,43.663,-79.462,25 to 29,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,1559.0
1177,43.663,-79.458,25 to 29,Dry,Clear,"Dawn, artificial",No Control,Lost control,Unknown,500.0
1178,43.663,-79.45,40 to 44,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,642.0
1179,43.663,-79.445,70 to 74,Wet,Rain,Dark,No Control,Improper Passing,Unknown,2224.0
1180,43.663,-79.419,65 to 69,Dry,Clear,Daylight,No Control,Improper Turn,Unknown,1856.0
1181,43.663,-79.418,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1675.5
1182,43.663,-79.418,unknown,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Unknown,1675.5
1183,43.663,-79.417,30 to 34,Dry,Clear,Dark,No Control,Improper Turn,Fatigue,228.0
1184,43.663,-79.41,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,2028.0
1185,43.663,-79.41,unknown,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,2028.0
1186,43.663,-79.402,20 to 24,Dry,Other,Daylight,No Control,Other,Unknown,1368.3333333333333
1187,43.663,-79.402,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,1368.3333333333333
1188,43.663,-79.402,35 to 39,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1368.3333333333333
1189,43.663,-79.392,45 to 49,Dry,Clear,Daylight,Stop Sign,Other,Inattentive,1100.0
